Url,Price,Selling date,Address,Suburb,House Type,Bedrooms,Bathrooms,Parking spots,Land size,Description,Features,Under 20,20 - 39,40 - 59,60+,Long term residents,Owner percent,Renter percent,Family percent,Single percent,Average age,First Listed,Population
https://www.domain.com.au/10-view-street-annandale-nsw-2038-2016499978,165,Listing sold by advertiser 9th October 2020,10 View Street Annandale NSW 2038,Annandale ,Free Standing Houses ,3,2,0,120,"Light Filled Character Home in the Heart of Annandale Village Quite literally footsteps from cafes, restaurants and shops along Booth Street yet remarkably quiet, this beautifully presented home offers relaxed living in a central village setting. Charm and style combine over two levels, with great flow-through to a sunny courtyard perfect for entertaining, while two living areas, a well-appointed kitchen and three good sized bedrooms - including one on the ground floor ideal as an office hold immense appeal for style-conscious urban professionals. In terms of easy maintenance, privacy and convenience, this excellent home has it all, and less than 5km from Sydney CBD.  Solid brick and bathed in natural light Timber parquetry floors &amp; high ceilings Formal lounge includes vintage f/place Open living/dining and modern kitchen Ground floor bedroom or home office Two bedrooms with built-ins upstairs Full main bathroom, 2nd bath/laundry Sunny entertainment courtyard at rear Cafes, shops &amp; city buses close to door 450m to Annandale North Public School 10 View Street Charm &amp; Convenience For Your Safety and Convenience: Socially distanced Private Inspections Hand sanitiser supplied at entry Free Building/Pest report to download Online Auction through SoldOnline Electronic exchange of contracts EFT &amp; DEFT Payment of deposit",empty,27,26,31,16,52,60,40,57,43,20 to 39,17 September,"9,459"
https://www.domain.com.au/178-trafalgar-street-annandale-nsw-2038-2016381813,200,Listing sold by advertiser 2nd October 2020,178 Trafalgar Street Annandale NSW 2038,Annandale ,Free Standing Houses ,3,2,0,0,"Updated Terrace Home Encapsulating the Annandale Lifestyle Situated just two minutes walk to the village centre, city buses and Annandale North Public School, this tastefully renovated terrace combines timeless character with modern style in a quiet, convenient setting. Beyond its traditional faade, flowing interiors full of natural light offer a generous layout over two levels featuring versatile living space, a modern open plan kitchen and three good size bedrooms, while entertainers will relish the paved courtyard garden area at the rear bathed in all-day sun. The home is exceptionally presented, ready to enjoy immediately and makes a superb lifestyle choice with broad appeal in a great location less than 6km from the CBD. Leased ($1,000 p/w) until August 2021 Two living areas and spacious dining DA approval to reconfigure ground floor  Modern gas kitchen, Euro appliances Three bedrooms on the upper level Beautifully renovated full main bath Ground floor bathroom with laundry Skylights and polished timber floors Cosy gas fireplace, split system a/c Low maintenance courtyard garden  2min walk to Booth Street amenities 178 Trafalgar Street relaxed living",['Built in wardrobes'],27,26,31,16,52,60,40,57,43,20 to 39,-1,"9,459"
https://www.domain.com.au/146-johnston-street-annandale-nsw-2038-2016517642,313,Listing sold by advertiser 24th September 2020,146 Johnston Street Annandale NSW 2038,Annandale ,Free Standing Houses ,4,2,0,405,"Grand Terrace with Village Lifestyle Victorian grandeur is on full display in this magnificent broad terrace, enhanced by a light filled contemporary extension. Elaborate period details evoke an ambience of pure refinement while new additions deliver modern comforts Expansive formal living with marble fireplace under soaring ceilings Spectacular formal dining arranged around a marble fireplace Sundrenched casual living opens to vast entertaining terrace Deep established gardens offering multiple courtyard areas Grand master suite with double French doors to a balcony Double bedrooms upstairs lead to north facing balcony Wide panelled timber floors and arched windows throughout Set just footsteps to community village shopping facilities",empty,23,31,34,13,52,41,59,46,54,20 to 39,28 September,"9,459"
https://www.domain.com.au/32-susan-street-annandale-nsw-2038-2016470615,146,Listing sold by advertiser 24th September 2020,32 Susan Street Annandale NSW 2038,Annandale ,Free Standing Houses ,2,1,0,133,"Gorgeous Farmhouse Cottage with Village Convenience This freestanding weatherboard home is something youd expect to find in Leura or one of those charming villages down in the Southern Highlands, yet its right here in the heart of Annandale! Now you can enjoy a country cottage of your own without leaving Sydney. The home is brimming with character and has plenty of personality. From the cosy living space and rustic open plan kitchen to the romantic bathroom and private upstairs retreat, theres just so much to love here. The vintage finishes, warm timbers and splashes of vibrant colour; everything comes together to create something special and we wouldnt change a thing!  White-painted timbers &amp; wood floors Front living room and separate dining Kitchen with gas cooking and pantry  Upper retreat has lounge &amp; balcony Bathroom including a claw foot tub Hand painted tiles in kitchen &amp; bath  Courtyard areas to the side and rear 650m from Annandale Public School 10 mins walk to Parramatta Rd buses Booth St shops and cafes within 500m For Your Safety and Convenience: Socially distanced Private Inspections Hand sanitiser supplied at entry Free Building/Pest report to download Online Auction through SoldOnline Electronic exchange of contracts EFT &amp; DEFT Payment of deposit",empty,22,34,30,14,51,54,46,55,45,20 to 39,-1,"9,459"
https://www.domain.com.au/78-wells-street-annandale-nsw-2038-2016474221,118,Listing sold by advertiser 17th September 2020,78 Wells Street Annandale NSW 2038,Annandale ,Free Standing Houses ,2,1,0,113.8,"Single-level house &amp; NE-facing courtyard A single-level terrace with a NE-facing courtyard, this is perfect entry-level buying in sought-after Annandale. Offering the ultimate in village position, this cottage offers classic appeal and while immaculate now, there is scope to add your own touches in the future. Free Building &amp; Pest Report available at bw.com.au. Highlights * Village position, everything at your door * Tidy Victorian house, immaculate t/out * Period detail, ornate plaster, fireplaces * Secluded veranda entrance &amp; privacy * Stone kitchen, d/washer, s/steel, gas * Full bathroom w/ tub, laundry, storage * Private NE courtyard, green backdrops * Ladder access to a large (33sqm) attic * Scope to add value &amp; your own touches * Walk-everywhere life in the hub of town",empty,28,25,32,15,46,60,40,57,43,20 to 39,-1,"9,459"
https://www.domain.com.au/221-johnston-street-annandale-nsw-2038-2016433687,144,Listing sold by advertiser 12th September 2020,221 Johnston Street Annandale NSW 2038,Annandale ,Free Standing Houses ,3,1,1,2,"A light filled haven in a bright and leafy home Tina O\'Connor proudly presents; Light, character and modern design are cleverly combined throughout this lovely heritage freestanding home, providing a very private and leafy environment for entertainers. Tastefully updated to make an easy living space with generous proportions and a smart style, it offers a peaceful retreat in a wide street setting. The home presents an ideal prospect for buyers seeking a smartly updated vintage property that\'s walking distance to Annandale\'s village cafes and shops, as well as harbourfront parklands, foreshore walks and the Tramsheds dining precinct. - Rooftop entertainment deck and sunlit north facing garden Freestanding with excellent northerly natural light Bright interiors with fresh decor and polished floors A flexible layout featuring three bedrooms, one with built-in robes Combined living/dining space plus a separate formal lounge room A neat and tidy kitchen with skylight and gas appliances Secure undercover parking, air conditioning and lots of storage A second level would capture city views (STCA)","['Close to schools', 'Close to shops', 'Close to transport']",27,22,28,24,52,71,29,61,39,20 to 39,-1,"9,459"
https://www.domain.com.au/329-annandale-street-annandale-nsw-2038-2016490009,280,Listing sold by advertiser 11th September 2020,329 Annandale Street Annandale NSW 2038,Annandale ,Free Standing Houses ,4,2,2,399.5,"UNIQUE LIFESTYLE OPTIONS IN PREMIER LOCATION Rich in lavish Italianate detail and entirely freestanding on approx. 399.5 sqm, this classic Victorian home offers spacious living on the one level and includes a modern loft bedroom guesthouse at the rear with private access. It presents a superb opportunity to cater for multi-generational family living or as a home plus investment, enjoying a prized setting in one of Annandale\'s most desirable streets. - Deep level block, generous 7.6m frontage Several areas of the home open outdoors Hallmark details including ornate ceilings Generous living, dining and family rooms Bright gas kitchen with breakfast retreat Bath with shower and tub, plus extra w/c Paved entertainers\' courtyard at the rear 3 bedroom main residence + guesthouse Rear lane access to auto double garage 350m to light rail, 500m to foreshore parks Catchment for Annandale North Public School Unique opportunity at 329 Annandale St",empty,26,18,27,29,53,63,37,60,40,20 to 39,11 September,"9,459"
https://www.domain.com.au/179-trafalgar-street-annandale-nsw-2038-2016451815,222,Listing sold by advertiser 11th September 2020,179 Trafalgar Street Annandale NSW 2038,Annandale ,Free Standing Houses ,3,2,1,291,"Renovated family residence + DA plans An impressive statement residence now, this package comes with DA Approval and big potential to add your own value. With plans including a garage rebuild, with studio/rumpus/study space above, enjoy a well-thought-out future here. Free Building &amp; Pest Report: bw.com.au. Highlights * Family home + DA approval for future * Plans for 4-bed, 3-bath, 1-car house * Valuable rear/garage &amp; studio design * 291sqm allotment in a village position * Currently an immaculate family home * With quiet views over the backyard * Modern updated kitchen &amp; bathrooms * Fireplaces, Vic. character preserved * Separate living/dining space, 2 levels * Spend nothing now, or unlock the dream",empty,25,27,33,14,51,65,35,61,39,20 to 39,-1,"9,459"
https://www.domain.com.au/106-nelson-street-annandale-nsw-2038-2016363512,210,Listing sold by advertiser 8th September 2020,106 Nelson Street Annandale NSW 2038,Annandale ,Free Standing Houses ,3,2,0,183,"Grand terrace living in prized street near village centre A spacious solid brick residence of substance and style, this architecturally enhanced terrace residence is exceptionally appointed, beautifully presented and in one of Annandales most sought-after streets. The home is desirably detached to the north side and features open plan interiors over two levels plus a multifunctional attic retreat, with an immensely private courtyard at the rear providing seamless indoor/outdoor entertaining. It presents as an idyllic home for modern living with retained character features and sophisticated updates within a few minutes walk of Booth Street cafes, 500m to city buses on Parramatta Road, and less than 4kms from the CBD.  Spacious open plan living and dining Kitchen has Euro appliances and gas Superb flow to private courtyard area  Courtyard with in-built bench seating Three bedrooms all offering built-ins Multi-split system r/c air conditioning Alarm security and smart lock entry Versatile loft retreat with attic ladder  Only 600m to Annandale Public School Relaxed lifestyle at 106 Nelson Street For Your Safety and Convenience: Socially distanced Inspections Hand sanitiser supplied at entry Free Building/Pest report to download Electronic exchange of contracts EFT &amp; DEFT Payment of deposit",empty,28,25,32,15,46,60,40,57,43,20 to 39,-1,"9,459"
https://www.domain.com.au/264a-annandale-street-annandale-nsw-2038-2016402843,223,Listing sold by advertiser 29th August 2020,264A Annandale Street Annandale NSW 2038,Annandale ,Free Standing Houses ,4,3,1,237,"Renovated character home + separate studio With a studio space above the lock-up garage, this is a layered inner-city home with versatile family appeal. A renovated character residence, it\'s full of light and modern design smarts. Highlights * NE-facing living &amp; alfresco spaces * Opens to private terraces &amp; greenery * Concertina doors, indoor/outdoor flow * Studio suits guests or extended family * Rear-lane access to the lock-up garage * Stone kitchen, gas appliances, d/washer * Ducted air con, skylights, ceiling fans * Bathrooms all wings, masses of storage * One of the best positions in Annandale * Walk to the village heart, bus, schools",empty,31,23,29,17,47,75,25,66,34,20 to 39,-1,"9,459"
