Url,Price,Selling date,Address,Suburb,House Type,Bedrooms,Bathrooms,Parking spots,Land size,Description,Under 20,20 - 39,40 - 59,60+,Long term residents,Owner percent,Renter percent,Family percent,Single percent,Average age,First Listed,Population
https://www.domain.com.au/11-lennox-street-gordon-nsw-2072-2016031857,2530000,Sold prior to auction 21 Feb 2020,11 Lennox Street Gordon NSW 2072,Gordon ,Free Standing Houses ,5,2,1,743,"Sophisticated, effortlessly classic family entertainer Uniquely romantic, this elegant c1930 residence has been fully renovated and extended to accommodate all types of families including multi-generational and those with older children looking for individual space as well as room to come together for larger gatherings. Its delightful fusion of Mediterranean-Australian architecture blends elegant character with contemporary style in a sought after east side address within the prestigious Killara High catchment area, a short walk to parks, Gordon station and just 3km to bustling St. Ives village. A true entertainer\'s sanctuary, its peaceful and private grounds extend to the sparkling swimming pool, embraced by easy care, low maintenance floral gardens and level, child friendly lawns.  Central formal living room with high, ornate ceilings and original fireplace currently closed  Living extends seamlessly to the formal dining space complete with vintage chandelier   Stylish, De Gabriel Kitchen with marble benches and Bosch gas appliances plus a dishwasher  Five generous bedrooms with defined areas, offering a versatile layout for the modern family  Renovated bathrooms in classic neutral tones, both with combined shower over bathtub  Dedicated study, original timber floors, solid brick construction, central gas heating, alarm  Automatic lock up garage with internal access, laundry opens directly to rear drying courtyard  Paved outdoor entertaining, level enclosed lawn and gas heated in ground swimming pool",35,20,27,19,60,89,11,69,31,40 to 59,-1,"7,679"
https://www.domain.com.au/7a-lodge-street-hornsby-nsw-2077-2016057833,1315000,Sold by private treaty 21 Feb 2020,7A Lodge Street Hornsby NSW 2077,Hornsby ,Free Standing Houses ,4,2,2,0,"Immaculate family home in convenient location This modern open plan family home is beautifully presented and offers a low maintenance, private and convenient lifestyle option. Its quiet yet central location is a short walk to trains, with direct gated access to the brand new Storey Park facilities. - Flowing single level layout reveals immaculate interiors - Spacious open living domain plus a separate dining space - Glass doors open onto paved courtgarden and easycare lawn - CaesarStone kitchen equipped with stainless gas cooktop - Light filled bedrooms all appointed with built-in wardrobes - Fully tiled bathroom with separate bath and shower, ensuite - Air conditioning, alarm, new carpet and paint, ceiling fans - Single lock-up garage with internal access and attic storage - Resides within the catchment for Hornsby North Public School - Walking distance to Asquith Station, shops and local schools",25,20,29,26,76,74,26,57,43,-1,-1,-1
https://www.domain.com.au/7a-lodge-street-hornsby-nsw-2077-2016235465,1315000,Sold by private treaty 21 Feb 2020,7A Lodge Street Hornsby NSW 2077,Hornsby ,Free Standing Houses ,4,2,2,0,"Immaculate family home in convenient location This modern open plan family home is beautifully presented and offers a low maintenance, private and convenient lifestyle option. Its quiet yet central location is a short walk to trains, with direct gated access to the brand new Storey Park facilities. Flowing single level layout reveals immaculate interiors Spacious open living domain plus a separate dining space Glass doors open onto paved courtgarden and easycare lawn CaesarStone kitchen equipped with stainless gas cooktop Light filled bedrooms all appointed with built-in wardrobes Fully tiled bathroom with separate bath and shower, ensuite Air conditioning, alarm, new carpet and paint, ceiling fans Single lock-up garage with internal access and attic storage Resides within the catchment for Hornsby North Public School Walking distance to Asquith Station, shops and local schools",25,20,29,26,76,74,26,57,43,20 to 39,-1,"22,173"
https://www.domain.com.au/5-kardella-avenue-killara-nsw-2071-2016055995,2680000,Sold at auction 21 Feb 2020,5 Kardella Avenue Killara NSW 2071,Killara ,Free Standing Houses ,6,6,2,851,"GENEROUS OPPORTUNITY IN A PREMIER EAST SIDE POSITION Bring your style and creativity to this expansive east-side home that showcases self-contained accommodation in a premier walk to rail location Owned by the one family for over 50 years, offering a versatile layout thats ideal for large or extended families Ready for an update and a re-imagining of the space with three of the bathrooms already newly renovated Formal lounge and adjoining dining room, separate family room Gas kitchen with generous storage and counter space Six bedrooms, some with dressing rooms, three with en suite bathrooms, built in robes Self-contained accommodation with separate entry, living room, as new kitchen with gas cooktop and electric oven, bedroom with built in robe and modern en suite Sparkling in ground pool, great size for swimming laps, keeping fit or entertaining energetic kids Level land parcel with wide 25.8m frontage, no easements or adverse sewerage lines Double carport, workshop/storage room, second laundry area, abundant storage throughout Walk to rail, Killara Park, Killara High School and the picturesque Swain Gardens, minutes to Lindfield shopping, boutiques and cafes Close to Newington Prep and Ravenswood plus multiple premier schools up and down the North Shore line Land size: 851sqm approx. Disclaimer: All information contained herein has been furnished to us by third party suppliers. We have not verified this information but have no reason to doubt its accuracy. We do not accept any responsibility to any person for its accuracy and do no more than pass it on. All interested parties should make and rely upon their own inquiries to determine whether or not this information is in fact, accurate.",28,22,25,25,67,94,6,62,38,40 to 59,-1,"10,573"
https://www.domain.com.au/103a-oxley-drive-mount-colah-nsw-2079-2016123674,880000,Sold by private treaty 21 Feb 2020,103A Oxley Drive Mount Colah NSW 2079,Mount Colah ,Free Standing Houses ,3,1,1,0,"SOLD by SONJA LAMBERTON 9987 0011 Beautifully presented and immaculate throughout, this low maintenance single level home enjoys spacious light-filled interiors and a superb leafy outlook. Ideal for the young family or those downsizing, the home is located near a popular playground, walking tracks and a short bus trip or drive to the station, schools and shops. - Bright spacious living room with plantation shutters - Open plan kitchen/dining/family flows to outdoors - 3 generous bedrooms, all with fitted built in robes - Neat bathroom, separate w/c, internal laundry - Ducted reverse cycle air conditioning, LED lights - Fresh neutral interiors, private outdoor patio - Low maintenance gardens, small level lawn area - Off street parking, potential for carport/garage - Tranquil family friendly neighbourhood - Near bus stop with easy access to schools, shops &amp; rail ""We have obtained all information in this document from sources we believe to be reliable; however, we cannot guarantee its accuracy. Prospective purchasers are advised to carry out their own investigations""",28,23,31,18,83,97,3,63,37,40 to 59,-1,"7,093"
https://www.domain.com.au/10-frith-avenue-normanhurst-nsw-2076-2014749731,1162000,Sold by private treaty 21 Feb 2020,10 Frith Avenue Normanhurst NSW 2076,Normanhurst ,Free Standing Houses ,3,1,1,577,"""Full Brick, nothing to do and in a prime location"" With just an 800m walk to Normanhurst station, this full brick street front property represents a great opportunity to enter the Normanhurst market. With a quality tenant in place, with a lease until December 2020 paying $550 per week, this represents a great opportunity for investors or what a way to get in front of the property curve whilst you save. Renovated inside and out, there is nothing to do. The property offers 3 bedrooms (2 with brand-new built-in robes), 2 living areas off the modern gas kitchen, a near new bathroom complete with spa bath and a second WC in the generous laundry. The large single carport could easily be converted to a garage and the huge front yard is an ideal place for your family to enjoy or even build your own veggie garden. All positioned on a level and sunny 580m2 approx block within easy walk to quality primary and secondary schools.  If you are looking for a conveniently located, well presented brick home with multiple living areas and a large level yard, to continue to lease out or move in at the end of the year then don\'t miss this inspection.",13,10,12,65,48,42,58,40,60,-1,-1,-1
https://www.domain.com.au/42a-kulgoa-road-pymble-nsw-2073-2016028324,4100000,Sold by private treaty 21 Feb 2020,42A Kulgoa Road Pymble NSW 2073,Pymble ,Free Standing Houses ,5,3,4,1575,"HIGH TECH SENSATION OF UNPARALLELED GLAMOUR The ultimate private sanctuary, this spectacular contemporary estate presents luxurious style, impressive quality and outstanding smart home technology for a prestigious lifestyle Grand sense of arrival; stately double doors, magnificent entry hall with majestic marble staircase rising to the upper level Opulent custom finishes adding to the superb light-filled open ambience and leafy big sky views Formal lounge and dining, amazing illuminated green onyx feature wall and flow to the tranquil front balcony Casual living and dining, bi-fold doors pushing back for seamless indoor/outdoor flow to entertaining and pool  Showpiece kitchen, expansive Calacatta marble bench top, dining bar/servery, stainless steel meal prep, walk in pantry and plumbed coffee station Premium appliances: Kleenmaid induction cooktop, self-clean electric oven and steam oven; microwave, dishwasher, wine fridge Billiard/games room with flow to barbecue area promoting fun-filled entertaining Downstairs family rumpus; great spot for the kids to hang out in their own space Home cinema/large study with ceiling mounted projector and motorised drop-down screen Five bedrooms all with built in robes, four on one level keeping parents and kids together at bedtime, guest suite with adjacent bathroom Deluxe master bedroom opening to the garden; fitted walk in robe and ensuite with double showers and vanity plus a separate wc Three breathtaking bathrooms, main with showstopper bathtub that the kids will adore, stunning marble guest bathroom Outdoor entertaining terrace in the private north to rear garden including a fully fitted barbecue kitchen for showing off your char-grill-skills Sparkling Aegean-blue saltwater pool with glass mosaics and heated spa, perfect for lazy summer days or elegant cocktail parties Manicured landscaping and level lawns for play, tranquil elevated position maintains privacy while keeping a light and open feeling Full brick and concrete construction, lift to all levels, C-Bus home automation for lights, blinds, pool and A/V. Security linked to iphone for live camera views Lock up garaging for three cars plus carport, handsome granite driveway, motorised gates, gym, zoned ducted reverse air con, B2B alarm, ducted vacuum Walk to buses for Gordon, Macquarie University and St Ives In Gordon East Public School zone, close to excellent schools including Ravenswood, Pymble Ladies College, Masada, Brigidine and St Ives High School Land size: 1,575 sqm approx. Disclaimer: All information contained herein has been furnished to us by third party suppliers. We have not verified this information but have no reason to doubt its accuracy. We do not accept any responsibility to any person for its accuracy and do no more than pass it on. All interested parties should make and rely upon their own inquiries to determine whether or not this information is in fact, accurate.",30,22,31,17,65,90,10,65,35,40 to 59,-1,"11,040"
https://www.domain.com.au/21-dalrymple-crescent-pymble-nsw-2073-2016053012,1710000,Sold prior to auction 21 Feb 2020,21 Dalrymple Crescent Pymble NSW 2073,Pymble ,Free Standing Houses ,5,2,2,993,"SOLD BY ROWAN LAZAR A haven of light and everlasting style, this superbly scaled home delivers bright, refreshed interiors that will appeal to those looking for size and substance. Possessing a classic Cape Cod style, it has been tightly held and much loved for over 50 years and promises a wonderful lifestyle for the family. Embraced within a verdant garden setting, it\'s positioned north facing on a generous 993sqm block with tranquil alfresco areas and secret spaces to enjoy. Expansive living zones are complemented by over-sized bedrooms, ready to enjoy now with exciting possibilities for the future. Discover the undeniable appeal of a setting that\'s peaceful and quiet yet just moments to the bus, rail, quality schools and shops.  Accommodation Features: * New carpets and fresh paint throughout, high ceilings * Timber floorboards, decorative cornice, powder room * Substantial lounge and dining, bay windows, gas fire * Casual living/dining, large timber and gas family kitchen * Easy internal access double lock up garage, storage room * Five over-sized upper level bedrooms, most with robes * Well configured bathrooms with separate shower, bath  and toilet rooms * Upstairs ducted air conditioning, master with dual walk-in robes External Features:  * Leafy and peaceful pocket * North facing 993sqm, front lawns * Spacious alfresco terrace, barbeque area * Established, lush rear gardens Location Benefits: * 600m to bus services including bus to rail * 550m to Dalrymple Hay Nature Reserve * 1.5km to St Ives Shopping Village * 1.9km to Masada * St Ives Public School catchment  * Close to PLC and Ravenswood School for Girls Contact  Rowan Lazar 0412 329 789 Graeme Schultz 0413 006 631 Disclaimer: All information contained here is gathered from sources we believe reliable. We have no reason to doubt its accuracy, however we cannot guarantee it.",28,21,28,23,62,93,7,68,32,-1,-1,-1
https://www.domain.com.au/5-torokina-avenue-st-ives-nsw-2075-2016042364,2920000,Sold prior to auction 21 Feb 2020,5 Torokina Avenue St Ives NSW 2075,St Ives ,Free Standing Houses ,5,3,4,1043,"Indulgent family living, dress circle address Classically contemporary, this prestige home nestles in a dress-circle St Ives setting offering accommodation that promises indulgent family living. The north facing residence is superbly presented and appointed throughout, delivering light filled and supremely scaled spaces. Enjoy unrestricted living with multiple vast living and entertaining spaces, a seamless flow between inside and out and desirable extras including a pool, study or guest suite plus large custom office perfect for a home business. Over-sized bedrooms include a lavish master retreat with sitting and ensuite. The 1,043sqm block is surprisingly low maintenance and nestles a quick stroll to St Ives Public, St Ives High, Masada and bus services. Accommodation Features: * High ceilings, light filled interiors, expansive formal lounge * Banquet sized formal dining, sweeping central staircase * Sprawling and open plan living and dining, ducted a/c * Two walls of bi-folds, stylish stone topped gas kitchen * Large TV or family room, lower level study or guest suite * Lower level full bathroom, internal access double garage * Large customised home office rests above the garage and is ideal for a home business, teen retreat or in-law suite * Five generous upper level bedrooms all with built-in robes * Luxury master with sitting, WIR and ensuite with plunge bath External Features:  * Beautifully landscaped gardens, easy care artificial grass * Expansive stone paved rear entertainer\'s terrace * Generous and level child-friendly backyard * Solar heated pool, additional two off street car spaces Location Benefits: * 150m to St Ives Primary &amp; High Schools * 260m to the city express bus &amp; Gordon bus * 900m to Masada * 1.7km to St Ives Shopping Village * Close to Brigidine and Sydney Grammar * Easy access to Chatswood/CBD/Macquarie Auction: Saturday 22 February, 5pm onsite Contact: David Beveridge 0411 225 167 Disclaimer: All information contained herein is gathered from sources we believe reliable. We have no reason to doubt its accuracy, however we cannot guarantee it.",29,19,30,22,71,91,9,70,30,40 to 59,-1,"17,295"
https://www.domain.com.au/42-carbeen-avenue-st-ives-nsw-2075-2016060551,2100000,Sold prior to auction 21 Feb 2020,42 Carbeen Avenue St Ives NSW 2075,St Ives ,Free Standing Houses ,5,2,2,973,"Full brick home with endless potential Built by the current family in 1958 and loved and cherished since, it offers endless possibilities to enjoy as is, update or even rebuild in such a sought-after location. Well presented interiors offer multiple living and dining areas that extend to a full-width rear balcony plus a substantial master with ensuite that provides excellent parental comfort. Its street setting is outstanding being a quick stroll to the bus to the city or rail and within walking distance of St Ives North Public School, Village shops and Pymble Golf Club. Accommodation Features: * Quality single-level full brick construction * Generous formal lounge and dining with open fireplace * Large casual dining adjoins well preserved kitchen * Expansive family room flows outdoors * Superbly proportioned master suite with ensuite and WIR * Generous bedrooms, optional large office or 5th bedroom * Internal laundry plus toilet, high ceilings  External Features:  * Set back from the street, double carport * Generous full width rear balcony * Level and secure child friendly backyard Location Benefits: * 150m to city/rail bus services * 900m to St Ives North Public School * 1km to St Ives Village Green * 1.2km to St Ives Shopping Village * 1.3km to Pymble Golf Club * Close to Masada, Brigidine and Sydney Grammar Auction Saturday 29 February, 5.30pm Onsite Contact  James Levy 0414 474 868 Disclaimer: All information contained here is gathered from sources we believe reliable. We have no reason to doubt its accuracy, however we cannot guarantee it.",34,19,27,20,69,91,9,68,32,40 to 59,-1,"17,295"
https://www.domain.com.au/2-koorawatha-street-hornsby-heights-nsw-2077-2016057832,1070000,Sold by private treaty 20 Feb 2020,2 Koorawatha Street Hornsby Heights NSW 2077,Hornsby Heights ,Free Standing Houses ,3,1,2,696,"Modern single level home on 696sqm corner parcel Bright, modern and well located, this north to rear home provides an idyllic environment for young families on a 696sqm near level, corner block. It\'s located within footsteps of buses to Hornsby, a short walk to Montview Oval, local school and shops. - Single level layout offers effortless indoor/outdoor flow - Open plan living domain creates an inclusive family setting - Expansive fully fenced lawns ideal for children and pets - Large covered verandah and paved outdoor entertaining area - Stone crafted kitchen equipped with stainless appliances - Well proportioned bedrooms with carpet and built-in robes - Bright skylit bathroom features separate spa bath and shower - Air conditioning, slow combustion fire, plantation shutters - Single lock-up garage with workshop plus lock-up carport - Easy access to Hornsby Heights Public School and coffee shop",33,19,33,15,70,93,7,64,36,40 to 59,-1,"6,290"
